Repository,Language,Commits,Code_churn
https://github.com/apache/qpid-broker-j.git,Java,9006,4213420
https://github.com/apache/qpid.git,Java,14182,8993520
https://github.com/apache/sling-samples.git,Java,454,327400
https://github.com/apache/sling-org-apache-sling-app-cms.git,Java,979,399226
https://github.com/apache/flink-shaded.git,Shell,119,9247
https://github.com/apache/echarts-doc.git,JavaScript,2171,26615561
https://github.com/apache/cordova-plugin-contacts.git,JavaScript,440,85824
https://github.com/apache/commons-logging.git,Java,1017,80954
https://github.com/apache/activemq-website.git,HTML,380,171860367
https://github.com/apache/rocketmq-cloudevents.git,Java,7,1297
https://github.com/apache/rocketmq-streams.git,Java,117,337623
https://github.com/apache/maven-dependency-plugin.git,Java,1075,153076
https://github.com/apache/xalan-c.git,C++,4497,2426288
https://github.com/apache/maven-enforcer.git,Java,689,99733
https://github.com/apache/sling-org-apache-sling-jcr-jackrabbit-usermanager.git,Java,206,30177
https://github.com/apache/unomi-site.git,HTML,102,66600
https://github.com/apache/maven-archetype.git,Java,1245,285712
https://github.com/apache/cassandra-harry.git,Java,33,33144
https://github.com/apache/couchdb-infra-cm.git,Python,35,3129
https://github.com/apache/nifi-site.git,Handlebars,322,24237
https://github.com/apache/jena-site.git,HTML,1604,8585850
https://github.com/apache/airflow-client-go.git,Go,11,61879
../repo_buffer/juneau,Java,2729,5940654
https://github.com/apache/incubator-eventmesh-site.git,HTML,54,35962
https://github.com/apache/servicecomb-service-center.git,Go,1343,5775784
