Name,URL,Language,size,Oversize?
cordova-docs,https://github.com/apache/cordova-docs.git,JavaScript,184518,False
solr-operator,https://github.com/apache/solr-operator.git,Go,4021,False
servicemix-bundles,https://github.com/apache/servicemix-bundles.git,Java,20162,False
kibble-1,https://github.com/apache/kibble-1.git,Python,2108,False
couchdb-erlfdb,https://github.com/apache/couchdb-erlfdb.git,Erlang,375,False
ignite-teamcity-bot,https://github.com/apache/ignite-teamcity-bot.git,Java,3924,False
echarts-theme-builder,https://github.com/apache/echarts-theme-builder.git,JavaScript,3024,False
maven-release,https://github.com/apache/maven-release.git,Java,3314,False
tomcat-jakartaee-migration,https://github.com/apache/tomcat-jakartaee-migration.git,Java,314,False
pulsar-test-infra,https://github.com/apache/pulsar-test-infra.git,TypeScript,13902,False
bahir-website,https://github.com/apache/bahir-website.git,CSS,1852,False
maven-site,https://github.com/apache/maven-site.git,CSS,14334,False
incubator-hop,https://github.com/apache/incubator-hop.git,Java,118138,False
cordova-plugman,https://github.com/apache/cordova-plugman.git,JavaScript,5525,False
cordova,https://github.com/apache/cordova.git,,33,False
servicecomb-pack,https://github.com/apache/servicecomb-pack.git,Java,15119,False
incubator-weex,https://github.com/apache/incubator-weex.git,C++,282740,False
openwhisk-workshop,https://github.com/apache/openwhisk-workshop.git,JavaScript,54,False
cordova-plugin-screen-orientation,https://github.com/apache/cordova-plugin-screen-orientation.git,JavaScript,232,False
lucene-solr,https://github.com/apache/lucene-solr.git,,584792,True
singa,https://github.com/apache/singa.git,C++,19708,False
httpcomponents-website,https://github.com/apache/httpcomponents-website.git,CSS,518,False
infrastructure-puppet,https://github.com/apache/infrastructure-puppet.git,Python,44023,False
dubbo-js,https://github.com/apache/dubbo-js.git,TypeScript,32260,False
aurora,https://github.com/apache/aurora.git,Java,30334,False
usergrid,https://github.com/apache/usergrid.git,Java,383452,True
cordova-plugin-file,https://github.com/apache/cordova-plugin-file.git,JavaScript,2237,False
cordova-plugin-network-information,https://github.com/apache/cordova-plugin-network-information.git,Objective-C,417,False
predictionio,https://github.com/apache/predictionio.git,Scala,36295,False
cordova-js,https://github.com/apache/cordova-js.git,JavaScript,12538,False
flume,https://github.com/apache/flume.git,Java,44453,False
incubator-pagespeed-mod,https://github.com/apache/incubator-pagespeed-mod.git,C++,53987,False
pulsar-client-go,https://github.com/apache/pulsar-client-go.git,Go,1769,False
datasketches-characterization,https://github.com/apache/datasketches-characterization.git,Java,23070,False
incubator-nuttx-website,https://github.com/apache/incubator-nuttx-website.git,SCSS,23747,False
ant,https://github.com/apache/ant.git,Java,75616,False
buildr,https://github.com/apache/buildr.git,Ruby,9326,False
phoenix,https://github.com/apache/phoenix.git,Java,73647,False
hbase-thirdparty,https://github.com/apache/hbase-thirdparty.git,Java,260,False
tvm-vta,https://github.com/apache/tvm-vta.git,Scala,1478,False
incubator-yunikorn-site,https://github.com/apache/incubator-yunikorn-site.git,JavaScript,56725,False
cordova-plugin-file-transfer,https://github.com/apache/cordova-plugin-file-transfer.git,JavaScript,1152,False
flink-benchmarks,https://github.com/apache/flink-benchmarks.git,Java,385,False
xmlgraphics-batik,https://github.com/apache/xmlgraphics-batik.git,Java,166204,False
skywalking-client-js,https://github.com/apache/skywalking-client-js.git,TypeScript,392,False
commons-chain,https://github.com/apache/commons-chain.git,Java,1664,False
skywalking-cli,https://github.com/apache/skywalking-cli.git,Go,729,False
skywalking-rust,https://github.com/apache/skywalking-rust.git,Rust,49,False
commons-jexl,https://github.com/apache/commons-jexl.git,Java,5326,False
incubator-age-viewer,https://github.com/apache/incubator-age-viewer.git,JavaScript,6791,False
tika-helm,https://github.com/apache/tika-helm.git,Smarty,70,False
roller,https://github.com/apache/roller.git,Java,301221,True
sqoop,https://github.com/apache/sqoop.git,Java,18789,False
incubator-tuweni,https://github.com/apache/incubator-tuweni.git,Java,44876,False
airflow-on-k8s-operator,https://github.com/apache/airflow-on-k8s-operator.git,Go,35409,False
openwhisk-runtime-python,https://github.com/apache/openwhisk-runtime-python.git,Jupyter Notebook,6035,False
druid-website,https://github.com/apache/druid-website.git,HTML,90819,False
druid-website-src,https://github.com/apache/druid-website-src.git,HTML,82893,False
solr-site,https://github.com/apache/solr-site.git,HTML,71215,False
